Order ID,Product,Quantity Ordered, Sales Price ,Order Date,Shipping Date,Status,Stock on Hand,Total,Remaining Stock
1001,Laptop,1, $850.00 ,6/15/2023,6/18/2023,Delivered,12, $850.00 ,11
1002,Smartphone,2, $750.00 ,6/16/2023,6/20/2023,Shipped,30," $1,500.00 ",28
1003,Tablet,3, $500.00 ,6/17/2023,6/19/2023,Delivered,25," $1,500.00 ",22
1004,Headphones,4, $290.00 ,6/18/2023,6/22/2023,Pending,50," $1,160.00 ",46
1005,Camera,1, $375.00 ,6/19/2023,6/21/2023,Delivered,18, $375.00 ,17
1006,Laptop,1, $850.00 ,6/20/2023,6/23/2023,Shipped,11, $850.00 ,10
1007,Smartphone,3, $750.00 ,6/21/2023,6/24/2023,Pending,28," $2,250.00 ",25
1008,Tablet,2, $500.00 ,6/22/2023,6/25/2023,Delivered,24," $1,000.00 ",22
1009,Headphones,1, $290.00 ,6/23/2023,6/26/2023,Shipped,48, $290.00 ,47
1010,Camera,4, $375.00 ,6/24/2023,6/27/2023,Pending,16," $1,500.00 ",12
1011,Laptop,2, $850.00 ,6/25/2023,6/28/2023,Delivered,10," $1,700.00 ",8
1012,Smartphone,1, $750.00 ,6/26/2023,6/29/2023,Shipped,29, $750.00 ,28
1013,Tablet,3, $500.00 ,6/27/2023,6/30/2023,Pending,23," $1,500.00 ",20
1014,Headphones,2, $290.00 ,6/28/2023,7/1/2023,Delivered,46, $580.00 ,44
1015,Camera,3, $375.00 ,6/29/2023,7/2/2023,Shipped,14," $1,125.00 ",11
1016,Laptop,4, $850.00 ,6/30/2023,7/3/2023,Pending,9," $3,400.00 ",5
1017,Smartphone,1, $750.00 ,7/1/2023,7/4/2023,Delivered,27, $750.00 ,26
1018,Tablet,3, $500.00 ,7/2/2023,7/5/2023,Shipped,22," $1,500.00 ",19
1019,Headphones,4, $290.00 ,7/3/2023,7/6/2023,Pending,44," $1,160.00 ",40
1020,Camera,2, $375.00 ,7/4/2023,7/7/2023,Delivered,12, $750.00 ,10
1021,Laptop,1, $850.00 ,7/5/2023,7/8/2023,Shipped,8, $850.00 ,7
1022,Smartphone,2, $750.00 ,7/6/2023,7/9/2023,Delivered,26," $1,500.00 ",24
1023,Tablet,3, $500.00 ,7/7/2023,7/10/2023,Pending,21," $1,500.00 ",18
1024,Headphones,4, $290.00 ,7/8/2023,7/11/2023,Delivered,42," $1,160.00 ",38
1025,Camera,1, $375.00 ,7/9/2023,7/12/2023,Shipped,11, $375.00 ,10
1026,Laptop,2, $850.00 ,7/10/2023,7/13/2023,Pending,7," $1,700.00 ",5
1027,Smartphone,3, $750.00 ,7/11/2023,7/14/2023,Delivered,25," $2,250.00 ",22
1028,Tablet,4, $500.00 ,7/12/2023,7/15/2023,Shipped,20," $2,000.00 ",16
1029,Headphones,1, $290.00 ,7/13/2023,7/16/2023,Pending,40, $290.00 ,39
1030,Camera,2, $375.00 ,7/14/2023,7/17/2023,Delivered,10, $750.00 ,8
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
